climate_date,province_name,latitude,longitude,precipitation_mm,temperature_avg_c,temperature_max_c,temperature_min_c,relative_humidity_pct,wind_speed_mps,source,dry_day_flag,heavy_rain_flag,heat_stress_flag,climate_risk_score,climate_risk_label
2026-01-03,Aceh,4.695135,96.7493993,4.38,19.48,23.36,16.34,89.15,0.51,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Bali,-8.4095178,115.188916,20.05,25.8,27.86,24.16,84.1,1.04,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Banten,-6.4058172,106.0640179,14.09,24.81,26.41,23.76,90.9,3.87,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Bengkulu,-3.7928451,102.2607641,22.19,24.6,26.29,23.4,90.19,3.84,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,D.I Yogyakarta,-7.8753849,110.4262088,27.83,25.68,27.37,24.32,89.12,2.04,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,DKI Jakarta,-6.1944491,106.8229198,21.99,26.41,27.52,25.49,87.25,4.73,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Gorontalo,0.6999372,122.4467238,10.6,26.45,27.49,25.5,85.15,2.73,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Jambi,-1.6101229,103.6131203,9.8,24.92,26.99,23.6,93.53,1.29,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Jawa Barat,-7.090911,107.668887,8.26,20.93,23.51,18.89,91.78,3.98,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Jawa Tengah,-7.150975,110.1402594,19.35,24.89,25.89,23.6,91.79,3.62,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Jawa Timur,-7.5360639,112.2384017,14.77,25.2,27.67,23.77,89.01,1.95,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Kalimantan Barat,-0.2787808,111.4752851,32.68,24.19,26.96,22.03,93.95,0.61,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Kalimantan Selatan,-3.0926415,115.2837585,11.48,25.09,27.33,23.7,94.44,1.14,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Kalimantan Tengah,-1.6814878,113.3823545,18.3,25.5,28.54,23.59,93.88,0.74,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Kalimantan Timur,0.5386586,116.419389,8.92,24.79,27.73,22.81,94.89,0.67,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Kalimantan Utara,3.0730929,116.0413889,29.75,23.11,24.77,22.13,97.09,0.54,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Kepulauan Bangka Belitung,-2.7410513,106.4405872,29.38,25.93,27.25,24.82,88.95,4.68,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Kepulauan Riau,3.9456514,108.1428669,6.66,26.5,26.95,26.14,86.77,8.43,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Lampung,-4.5585849,105.4068079,5.49,25.68,27.7,24.28,89.12,4.01,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Maluku,-3.2384616,130.1452734,6.95,26.97,29.0,25.77,84.06,3.46,NASA POWER Daily API,0,0,0,0,Low
2026-01-03,Maluku Utara,1.5709993,127.8087693,5.51,26.5,27.82,25.7,89.13,4.64,NASA POWER Daily API,0,0,0,0,Low
