period_month,province_name,inflation_mtm,inflation_yoy,cpi,source
2026-01-01,Aceh,-0.03,6.69,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Bali,-0.39,2.58,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Banten,-0.3,3.48,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Bengkulu,-0.8,2.61,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,DI Yogyakarta,-0.16,3.3,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,DKI Jakarta,-0.23,3.96,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Gorontalo,0.25,4.53,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Indonesia,-0.15,3.55,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Jambi,-0.58,3.35,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Jawa Barat,-0.14,3.24,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Jawa Tengah,-0.36,2.83,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Jawa Timur,-0.18,3.29,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Kalimantan Barat,0.3,3.33,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Kalimantan Selatan,0.35,4.66,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Kalimantan Tengah,0.32,4.09,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Kalimantan Timur,-0.03,3.76,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Kalimantan Utara,0.08,4.08,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Kepulauan Bangka Belitung,0.33,3.95,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Kepulauan Riau,-0.26,2.94,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Lampung,-0.27,1.9,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Maluku,1.31,4.7,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Maluku Utara,1.0,4.86,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Nusa Tenggara Barat,0.4,3.86,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Nusa Tenggara Timur,1.07,3.34,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Papua,-0.36,3.33,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Papua Barat,0.02,5.02,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Papua Barat Daya,0.12,3.75,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Papua Pegunungan,-0.05,2.93,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Papua Selatan,1.06,4.83,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-01-01,Papua Tengah,-0.56,4.85,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
