title,url,source_name,published_at,query_keyword,commodity_group,event_category,sentiment_label,sentiment_score,matched_keywords
Harga Pangan 3 Mei 2026: Beras hingga Daging Ayam Naik - Bloomberg Technoz,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOd1N3R24zTmRGVU5BV3l4UGdlLWJ5ZHd0Nmt1X1VPckRKbUZTZWQ2bXVxbXNfYmNaQTBNcnlBVndzcWx4Rm9YUWNQZWlDVlVnUFpaVGd0MWFZekZmZWotWGd2MlVGWEFQSGZqVVotVU5IS0liV2NMY29aY2RwY3o0UjhacmtSdy1qZGRBUTF1eFQ0X0pZRUVvVElEeDJESmQwV2RUdkF3SnQ?oc=5,Bloomberg Technoz,2026-05-03 02:30:00,harga pangan naik Indonesia,Beras,Price Increase,Negative,-2,naik
Harga Pangan 3 Mei 2026: Beras hingga Daging Ayam Naik - Bloomberg Technoz,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOd1N3R24zTmRGVU5BV3l4UGdlLWJ5ZHd0Nmt1X1VPckRKbUZTZWQ2bXVxbXNfYmNaQTBNcnlBVndzcWx4Rm9YUWNQZWlDVlVnUFpaVGd0MWFZekZmZWotWGd2MlVGWEFQSGZqVVotVU5IS0liV2NMY29aY2RwY3o0UjhacmtSdy1qZGRBUTF1eFQ0X0pZRUVvVElEeDJESmQwV2RUdkF3SnQ?oc=5,Bloomberg Technoz,2026-05-03 02:30:00,harga beras Indonesia,Beras,Price Increase,Negative,-2,naik
Menjaga Swasembada Beras di Tengah Euforia Ekspor - Bloomberg Technoz,https://news.google.com/rss/articles/CBMioAFBVV95cUxPTWduY3pzSDV5d3pWZUdEY0FSYXdsOGFtN25BRlVhVVJpZTFCRHFZbDZESUZMWURFS0VBNjZZcU5OMnZfSVM2anBIckU1enVnWi14UFhUWktrZVd5dnRzeXhrUDVLOE90WWZKWjRnWkJFMkhFUmNqWFNhNzBmd2tMNk1ILUU4N3UwSXVmWFdzbXpfOEt4NDhoSVJ1X01YU2dR?oc=5,Bloomberg Technoz,2026-05-03 02:12:40,harga beras Indonesia,Beras,General News,Neutral,0,
Daftar Update Harga Kebutuhan Pangan Terbaru di Pasar Seluruh Indonesia 2 Mei 2026 - USAID IUWASH Tangguh,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQQnhWaUM0TU1lUll4ZnVpRFdRUFU3VTlKZENQSDdkeUJhMG5aZXBJbGtReDVNWnB1eWdQMk5HZTBYU1NqYXZZT05ickRRWHp4QmtpUmFKdTNPUFVCYXR5Nl83MjJJMGdaMmk3djRSeEMxa01jVGx6eXVPcGlKcDczaWVGcUgwX3BSV1FhMk9IbjVISDRMVVVYMVlBOHU3Z1N6aFg1RUNzV1FfTTZGVTRmRVlUNHpWZG5Oc3JkRWtwSGNYaDIwb3RRVGJQbldsaGNrRFVEZk1R?oc=5,USAID IUWASH Tangguh,2026-05-02 17:36:18,harga cabai Indonesia,Umum,General News,Neutral,0,
"Bulog Jateng Jamin Stok Beras Aman Hingga Akhir 2026, Serapan Gabah Tembus 200 Ribu Ton - Inilahjateng",https://news.google.com/rss/articles/CBMisgFBVV95cUxObGV2STZhX2NydFpUdi1iaUhoNTczU0NTOHBHekQ1aWxTcjVJYkl0Q2t4c0YtQXh4UkFXMXFaMjJka3FkTWJ0VlZHZWJsRFRELVB5WE9hSmVibkhqREhwdG41N2NDUGxyZ2thS0R5TWhNSEJrSHBYbDZINEQ3MnZ1VXJRdmFLamZ3akwyZm9hejNfXzFpUFVGY1dfMk9YOHNpS0x0eVMzNTRJbUVvRElwQjJR?oc=5,Inilahjateng,2026-05-02 16:04:00,Bulog beras harga pangan,Beras,Price Increase,Negative,-1,tembus
Pemerintah Perkuat Ketahanan Pangan lewat Sinergi Lintas Sektor - PT Suara Dewata Media,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQc01lbnJiS09FTVYyZlJ6TEhLUS1sbzNYUmRTXy1hSGgycHQ1RVJ1dWlZaEpXWGRJV2hULS1NN2RXcjJPaGI1djBEUUFieVdMRHdpS1dwd1k1aDI3Y25ZOXlUWVV4SXc4YlktaXhVT1k2Z3FyVmFkbXY1X01XSnZlTWotU2JWMDBidXZUS21KMm9RVmtSSzFzOG9xZDVYOXB5RmczNk5TX2w5cDg?oc=5,PT Suara Dewata Media,2026-05-02 15:45:00,rantai pasok pangan Indonesia,Umum,General News,Neutral,0,
Pemerintah Perkuat Ketahanan Pangan lewat Sinergi Lintas Sektor - Minews ID,https://news.google.com/rss/articles/CBMijwFBVV95cUxOYmxORXJLNFk5cXllb2Y5RWRYVWlDbDJpU2J6NWVpWldtMUVKNTdlWTV0Q2YwNTBoTWNwdEJNS0hoNjdjdWpvXzhHUVNMdnVwNDY3ejZ3MEVaMlNJTkxpbS1zamhhN0sxekxZNU1Ca1NnNHNON3g2NEp2RldwYlhvdlVZb19qZ0wzVTR4ZGFvaw?oc=5,Minews ID,2026-05-02 12:43:01,distribusi pangan Indonesia,Umum,General News,Neutral,0,
Bulog Pastikan Stok Beras di Jateng 372 Ribu Ton Aman hingga Akhir Tahun - Berita Bersatu,https://news.google.com/rss/articles/CBMitAFBVV95cUxNSW9MR2VXNTV3LTA4ZWs2YmdTY3lpWmZqNFE4aTR6R1FjLVFNX2w5R3pvbkszTUpMVmZaQi1PN3BERG11SnBEU0phR2ctZE52U1V2YWt0S2ZUU1JMMEt4MlRRemtkbzlJM0kybnYzR21kNThYUU5Dd2EzenZZaTh4akhEZllDRl95MHBaMVBDQ0lFTW5xY3IxSHcwQlMzUTFHbThVa3AycEFTWjEzazVBS1p1VTg?oc=5,Berita Bersatu,2026-05-02 10:46:01,Bulog beras harga pangan,Beras,Government Intervention,Positive,2,bulog
Ini Dia! Pemicu Kenaikan Harga Minyak Goreng - Bisnis Bali,https://news.google.com/rss/articles/CBMilwFBVV95cUxNX05pdmpMeHJHOGlTRmhXck5jTmMtTnd2SHRQaHV0V2NBdnp6SUJGUFg0TTlIaGxrc0N0YUxVeDQyNkt1QmwzMFlqM0paTGROaDB6ay1IX1hWUlVSczNlWTFwaXQwWWVhUXY1ZEc0UkpHMXVfck1FSjlXUzI0ZDZ2RC1mVmlhYk5tNmltTkZPai0xU2ZIUTg4?oc=5,Bisnis Bali,2026-05-02 10:13:16,harga minyak goreng Indonesia,Minyak Goreng,Price Increase,Negative,-2,"kenaikan, naik"
Bulog pastikan stok beras di Jateng aman hingga akhir 2026 - ANTARA News Jateng,https://news.google.com/rss/articles/CBMipAFBVV95cUxOZWZCdXJlUmwyaUFaRmFZemJOSE1zWi1namFlUUl2NmZZMGxUQTlMa3NQLTNfWXAwY2tqOW1UcDc0TF90d294MERzQ0xVdzFTN1R5Wm91V0pJSTFQQ09lYTN5WUZJNFRJd3hyOWJKNVplclVyMHJIdnB0UU5VRzRuUzhOTndJeFE4MXF6SjdLTElRS0hvNF9kWndOR2lPeE9BOHI2Rw?oc=5,ANTARA News Jateng,2026-05-02 09:34:55,Bulog beras harga pangan,Beras,Government Intervention,Positive,2,bulog
"Harga Cabai Merah Keriting di Sumatera Selatan Paling Mahal di Indonesia (Jumat, 1 Mei 2026) - Databoks",https://news.google.com/rss/articles/CBMi8wFBVV95cUxQc2g4NWhpZFprWDNXeTFSZ096MkxmWlJlMEFrSzlZdlV0bTYxSVNNZUFHU005V0RYbUEzMjF4NEpSQmRUZzZrd3JkbFAyakdxa2QtWC0zbVpaNzB2Qk13MG1MWThfUUROU2RDWTJDcTh3UjBMdmtGSkQ4UGVtUzY4X3J1ZUxDZkpjMGE5cnRuZGZBaDNIY1VtN3A1ZGVVTzJYRENaRHlyRjVpQ090S3hsOW81bFNiekdyWlZtdFctNlZLci14azdnTms5R3VWa05RS0g3cUtfZUpuWExfeVF1cHI0ajltbkxXNWtXbTM1QTUySGs?oc=5,Databoks,2026-05-02 08:50:00,harga cabai Indonesia,Cabai,Price Increase,Negative,-2,mahal
"Sidak Gudang Bulog, Rocky Candra Pastikan Stok Pangan Jambi Aman Hingga Awal 2027 » Aktual dan Terkini - ampar.id",https://news.google.com/rss/articles/CBMinwFBVV95cUxNNjhBYVZ1TGZPLXhJTi02ckhKTlRhN3VnUU52Rm1oLWsyQ3pSUWxLcUl6enlHbm05dVQycXVBUk85cW80VkJVTzRpLUs5Q3FnR0w5RXhCdTZtLVp6aHZpZk5CSGdyWWJ0S0I1aWpiSUxscmxTZW8wTm9WRXJhZ3llU0k3VXB2clY3bWFaUi1LcVlqZzEzQllldm5FZnRKakU?oc=5,ampar.id,2026-05-02 07:45:13,Bulog beras harga pangan,Beras,Government Intervention,Positive,2,"bulog, sidak"
Pemkab Natuna & Bulog gelar gerakan pangan murah di pulau penyangga - ANTARA News Kepri,https://news.google.com/rss/articles/CBMirAFBVV95cUxOYmFxQWtDR2FDNzBXZDRqVW9OQlA2anVBczlGa0EyNnZ2MFpZT3B5YUxOZ3I3bG5XZ1NpWW5QVWhpZTh2ZXZGeDlWdjNrc0c5YVNpSl82Tk9jdWhLSHF2R1VrYlUxQ0llUHljNVIyRmNMTDQteWVYUHRiQjE2QXA2Vk1FYVFqR3ZhdHo4clBzdEhZdGtQV2F0NGZkVGZBLWFvbnM0cFdiaUtUcjJT?oc=5,ANTARA News Kepri,2026-05-02 07:37:17,Bulog beras harga pangan,Beras,Price Decrease,Positive,1,murah
"Harga Pangan Hari Ini: Cabai Rawit Tembus Rp60.000 per Kg, Telur Ayam Rp31.000 - Suara.com",https://news.google.com/rss/articles/CBMivgFBVV95cUxPSFhCMXFaTV95T2drRHRUVzBfam5OZF95UVRHMmxySzFMWVZwYk11aFlWZDBhQ0ZIQWR6VUYtNzdFc0l3ajlkdFk2OHZHR2ZYdEg3RkZTQzhzaDhPVTN2Vk1ncWotd01kOWsyM21RSHZkQko4SjkzQVM2WHhRUkQ5RGRkeGhMNU9GR2h4UFRFcElkdkV0emVZZl9Pdkx3X0NZazNHai1oQUZEUHFZblU2aTRIN0UzZnFKcTBSR2h3?oc=5,Suara.com,2026-05-02 06:53:42,harga cabai Indonesia,Cabai,Price Increase,Negative,-2,tembus
