price_date,province_name,city_name,commodity_name,unit,price,source
2026-05-01,Nasional,Nasional,Bawang Merah Ukuran Sedang,kg,45000,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Bawang Putih Ukuran Sedang,kg,38500,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Beras Kualitas Bawah I,kg,14150,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Beras Kualitas Bawah II,kg,14650,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Beras Kualitas Medium I,kg,15800,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Beras Kualitas Medium II,kg,15450,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Beras Kualitas Super I,kg,16850,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Beras Kualitas Super II,kg,16400,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Cabai Merah Besar,kg,49500,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Cabai Merah Keriting,kg,43900,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Cabai Rawit Hijau,kg,43050,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Cabai Rawit Merah,kg,60000,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Daging Ayam Ras Segar,kg,40250,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Daging Sapi Kualitas 1,kg,142900,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Daging Sapi Kualitas 2,kg,136250,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Gula Pasir Kualitas Premium,kg,20100,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Gula Pasir Lokal,kg,19050,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Minyak Goreng Curah,kg,20550,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Minyak Goreng Kemasan Bermerk 1,kg,24050,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Minyak Goreng Kemasan Bermerk 2,kg,22800,PIHPS Home Snapshot
2026-05-01,Nasional,Nasional,Telur Ayam Ras Segar,kg,31000,PIHPS Home Snapshot
