price_date,province_name,city_name,commodity_name,unit,price,source
2023-05-24,DKI Jakarta,Jakarta,Ayam Broiler/Ras,kg,40767.0,Berita Jakarta Info Pangan
2023-05-25,DKI Jakarta,Jakarta,Ayam Broiler/Ras,ekor,40477.0,Berita Jakarta Info Pangan
2023-05-24,DKI Jakarta,Jakarta,Bawang Merah,kg,48000.0,Berita Jakarta Info Pangan
2023-05-25,DKI Jakarta,Jakarta,Bawang Merah,kg,47391.0,Berita Jakarta Info Pangan
2023-05-24,DKI Jakarta,Jakarta,Bawang Putih,kg,39466.0,Berita Jakarta Info Pangan
2023-05-25,DKI Jakarta,Jakarta,Bawang Putih,kg,39000.0,Berita Jakarta Info Pangan
2023-05-24,DKI Jakarta,Jakarta,Beras IR 42/Pera,kg,14026.0,Berita Jakarta Info Pangan
2023-05-25,DKI Jakarta,Jakarta,Beras IR 42/Pera,kg,14079.0,Berita Jakarta Info Pangan
2023-05-24,DKI Jakarta,Jakarta,Beras IR. I (IR 64),kg,12342.0,Berita Jakarta Info Pangan
2023-05-25,DKI Jakarta,Jakarta,Beras IR. I (IR 64),kg,12347.0,Berita Jakarta Info Pangan
2023-05-24,DKI Jakarta,Jakarta,Beras IR. II (IR 64) Ramos,kg,11467.0,Berita Jakarta Info Pangan
2023-05-25,DKI Jakarta,Jakarta,Beras IR. II (IR 64) Ramos,kg,11494.0,Berita Jakarta Info Pangan
2023-05-24,DKI Jakarta,Jakarta,Beras IR. III (IR 64),kg,10585.0,Berita Jakarta Info Pangan
2023-05-25,DKI Jakarta,Jakarta,Beras IR. III (IR 64),kg,10640.0,Berita Jakarta Info Pangan
2023-05-24,DKI Jakarta,Jakarta,Beras Muncul .I,kg,12559.0,Berita Jakarta Info Pangan
2023-05-25,DKI Jakarta,Jakarta,Beras Muncul .I,kg,12600.0,Berita Jakarta Info Pangan
2023-05-24,DKI Jakarta,Jakarta,Beras Setra I/Premium,kg,13177.0,Berita Jakarta Info Pangan
2023-05-25,DKI Jakarta,Jakarta,Beras Setra I/Premium,kg,13145.0,Berita Jakarta Info Pangan
2023-05-24,DKI Jakarta,Jakarta,Cabe Merah Besar (TW),kg,47857.0,Berita Jakarta Info Pangan
2023-05-25,DKI Jakarta,Jakarta,Cabe Merah Besar (TW),kg,48022.0,Berita Jakarta Info Pangan
2023-05-24,DKI Jakarta,Jakarta,Cabe Merah Keriting,kg,39222.0,Berita Jakarta Info Pangan
2023-05-25,DKI Jakarta,Jakarta,Cabe Merah Keriting,kg,39600.0,Berita Jakarta Info Pangan
2023-05-24,DKI Jakarta,Jakarta,Cabe Rawit Hijau,kg,45666.0,Berita Jakarta Info Pangan
2023-05-25,DKI Jakarta,Jakarta,Cabe Rawit Hijau,kg,44869.0,Berita Jakarta Info Pangan
2023-05-24,DKI Jakarta,Jakarta,Cabe Rawit Merah,kg,49363.0,Berita Jakarta Info Pangan
