province_name,province_code,regency_name,district_name,village_name,adm4_code
Aceh,11,Kota Banda Aceh,Baiturrahman,Ateuk Deah Tanoh,11.71.01.2009
Bali,51,Kota Denpasar,Denpasar Barat,Dauh Puri,51.71.03.1005
Banten,36,Kota Cilegon,Cibeber,Bulakan,36.72.01.1003
Bengkulu,17,Kota Bengkulu,Gading Cempaka,Cempaka Permai,17.71.02.1027
DI Yogyakarta,34,Kota Yogyakarta,Danurejan,Bausasran,34.71.04.1003
DKI Jakarta,31,Kota Administrasi Jakarta Barat,Cengkareng,Cengkareng Barat,31.73.01.1001
Gorontalo,75,Kota Gorontalo,Dumbo Raya,Botu,75.71.08.1004
Jambi,15,Kota Jambi,Alam Barajo,Bagan Pete,15.71.09.1004
Jawa Barat,32,Kota Bandung,Andir,Campaka,32.73.05.1006
Jawa Tengah,33,Kota Magelang,Magelang Selatan,Jurangombo Selatan,33.71.01.1009
Jawa Timur,35,Kota Batu,Batu,Ngaglik,35.79.01.1002
Kalimantan Barat,61,Kota Pontianak,Pontianak Barat,Pallima,61.71.03.1001
Kalimantan Selatan,63,Kabupaten Kotabaru,Hampang,Cantung Kanan,63.02.14.2003
Kalimantan Tengah,62,Kabupaten Kotawaringin Barat,Arut Selatan,Baru,62.01.02.1009
Kalimantan Timur,64,Kota Balikpapan,Balikpapan Barat,Baru Ilir,64.71.02.1001
Kalimantan Utara,65,Kota Tarakan,Tarakan Barat,Karang Anyar,65.71.01.1001
Kepulauan Bangka Belitung,19,Kota Pangkal Pinang,Bukit Intan,Air Itam,19.71.01.1007
Kepulauan Riau,21,Kota Batam,Batam Kota,Baloi Permai,21.71.10.1001
Lampung,18,Kota Bandar Lampung,Bumi Waras,Bumi Raya,18.71.20.1004
Maluku,81,Kota Ambon,Baguala,Halong,81.71.03.2002
Maluku Utara,82,Kota Ternate,Kota Ternate Selatan,Bastiong Karance,82.71.02.1024
Nusa Tenggara Barat,52,Kota Bima,Asakota,Jatibaru,52.72.03.1003
Nusa Tenggara Timur,53,Kota Kupang,Alak,Alak,53.71.01.1008
Papua,91,Kota Jayapura,Abepura,Abepantai,91.71.03.1011
Papua Barat,92,Kabupaten Fak Fak,Arguni,Andamata,92.03.13.2001
Papua Barat Daya,96,Kota Sorong,Klaurung,Giwu,96.71.08.1004
Papua Pegunungan,95,Kab Pegunungan Bintang,Aboy,Aboy,95.02.08.2001
Papua Selatan,93,Kabupaten Asmat,Agats,Asuwetsy,93.04.01.2003
Papua Tengah,94,Kabupaten Deiyai,Bowobado,Diita,94.08.03.2006
Riau,14,Kota Dumai,Bukit Kapur,Bagan Besar,14.72.03.1004
Sulawesi Barat,76,Kabupaten Majene,Banggae,Banggae,76.05.01.1001
Sulawesi Selatan,73,Kota Makassar,Biringkanaya,Bakung,73.71.11.1011
Sulawesi Tengah,72,Kota Palu,Mantikulore,Kawatuna,72.71.08.1007
Sulawesi Tenggara,74,Kota Bau Bau,Batupoaro,Bonebone,74.72.08.1001
Sulawesi Utara,71,Kota Bitung,Aertembaga,Aertembaga Dua,71.72.04.1014
Sumatera Barat,13,Kabupaten Lima Puluh Kota,Akabiluru,Batuhampar,13.07.13.2003
Sumatera Selatan,16,Kota Lubuk Linggau,Lubuk Linggau Barat I,Bandung Kiri,16.73.02.1008
Sumatera Utara,12,Kota Binjai,Binjai Barat,Bandar Senembah,12.75.03.1001
