weather_datetime_utc,forecast_date,province_name,weather_code,weather_desc,temperature_min,temperature_max,temperature_avg,humidity_min,humidity_max,humidity_avg,wind_direction,wind_speed,weather_risk_label,weather_risk_score,source
2026-05-03 04:00:00,2026-05-03,Aceh,2,Cerah Berawan,31.0,31.0,31.0,62.0,62.0,62.0,SW,7.9,Low,0,BMKG Public Weather Forecast API
2026-05-03 07:00:00,2026-05-03,Aceh,61,Hujan Ringan,28.0,28.0,28.0,75.0,75.0,75.0,S,7.9,Medium,1,BMKG Public Weather Forecast API
2026-05-03 10:00:00,2026-05-03,Aceh,2,Cerah Berawan,28.0,28.0,28.0,77.0,77.0,77.0,S,8.8,Low,0,BMKG Public Weather Forecast API
2026-05-03 13:00:00,2026-05-03,Aceh,2,Cerah Berawan,26.0,26.0,26.0,87.0,87.0,87.0,E,3.6,Low,0,BMKG Public Weather Forecast API
2026-05-03 16:00:00,2026-05-03,Aceh,2,Cerah Berawan,26.0,26.0,26.0,90.0,90.0,90.0,SE,0.6,Medium,1,BMKG Public Weather Forecast API
2026-05-03 19:00:00,2026-05-03,Aceh,2,Cerah Berawan,25.0,25.0,25.0,91.0,91.0,91.0,SE,2.7,Medium,1,BMKG Public Weather Forecast API
2026-05-03 22:00:00,2026-05-03,Aceh,2,Cerah Berawan,25.0,25.0,25.0,92.0,92.0,92.0,SE,4.7,Medium,1,BMKG Public Weather Forecast API
2026-05-03 04:00:00,2026-05-03,Bali,1,Cerah,32.0,32.0,32.0,69.0,69.0,69.0,SE,37.0,Medium,1,BMKG Public Weather Forecast API
2026-05-03 07:00:00,2026-05-03,Bali,1,Cerah,30.0,30.0,30.0,72.0,72.0,72.0,E,37.0,Medium,1,BMKG Public Weather Forecast API
2026-05-03 10:00:00,2026-05-03,Bali,1,Cerah,28.0,28.0,28.0,83.0,83.0,83.0,E,27.8,Medium,1,BMKG Public Weather Forecast API
2026-05-03 13:00:00,2026-05-03,Bali,1,Cerah,28.0,28.0,28.0,90.0,90.0,90.0,E,27.8,Medium,2,BMKG Public Weather Forecast API
2026-05-03 16:00:00,2026-05-03,Bali,61,Hujan Ringan,26.0,26.0,26.0,92.0,92.0,92.0,E,27.8,High,3,BMKG Public Weather Forecast API
2026-05-03 19:00:00,2026-05-03,Bali,2,Cerah Berawan,25.0,25.0,25.0,96.0,96.0,96.0,E,27.8,Medium,2,BMKG Public Weather Forecast API
2026-05-03 22:00:00,2026-05-03,Bali,1,Cerah,24.0,24.0,24.0,95.0,95.0,95.0,E,27.8,Medium,2,BMKG Public Weather Forecast API
2026-05-03 04:00:00,2026-05-03,Banten,1,Cerah,31.0,31.0,31.0,77.0,77.0,77.0,N,10.1,Low,0,BMKG Public Weather Forecast API
2026-05-03 07:00:00,2026-05-03,Banten,61,Hujan Ringan,30.0,30.0,30.0,79.0,79.0,79.0,NE,6.8,Medium,1,BMKG Public Weather Forecast API
2026-05-03 10:00:00,2026-05-03,Banten,61,Hujan Ringan,27.0,27.0,27.0,94.0,94.0,94.0,SE,5.4,Medium,2,BMKG Public Weather Forecast API
2026-05-03 13:00:00,2026-05-03,Banten,3,Berawan,26.0,26.0,26.0,95.0,95.0,95.0,S,3.0,Medium,1,BMKG Public Weather Forecast API
